id,title,section,type,priority,status,implementation,verification,notes
FR-001,Initial Authentication Setup,Authentication,FR,Critical,review,,,
FR-002,Biometric Authentication,Authentication,FR,Critical,implemented-verified,"authentication/, core/security/",PHASE3_TEST_PLAN,Phase 1–3 campaigns
FR-003,PIN Authentication,Authentication,FR,Critical,implemented-verified,"authentication/, core/security/",PHASE3_TEST_PLAN,Phase 1–3 campaigns
FR-004,Pattern Authentication,Authentication,FR,High,not-started,,,
FR-005,Knock Code Authentication,Authentication,FR,Medium,not-started,,,
FR-006,Multiple Authentication Methods,Authentication,FR,High,review,,,
FR-007,Authentication Fallback,Authentication,FR,Critical,review,,,
FR-008,Authentication Timeout,Authentication,FR,High,review,,,
FR-009,Authentication Retry Limit,Authentication,FR,Critical,review,,,
FR-010,Authentication Delay,Authentication,FR,High,review,,,
FR-011,Secure Password Storage,Authentication,FR,Critical,not-started,,,
FR-012,Android Keystore Integration,Authentication,FR,Critical,review,,,
FR-013,Authentication Logging,Authentication,FR,Medium,review,,,
FR-014,Failed Authentication Logging,Authentication,FR,High,review,,,
FR-015,Biometric Enrollment Detection,Authentication,FR,Medium,implemented-verified,"authentication/, core/security/",PHASE3_TEST_PLAN,Phase 1–3 campaigns
FR-016,Device Credential Integration,Authentication,FR,Medium,review,,,
FR-017,Authentication Session Management,Authentication,FR,High,review,,,
FR-018,Authentication Cancellation,Authentication,FR,Medium,review,,,
FR-019,Authentication Method Change,Authentication,FR,High,review,,,
FR-020,Authentication Recovery,Authentication,FR,High,not-started,,,
FR-021,Randomized Numeric Keypad,Authentication,FR,High,review,,,
FR-022,Authentication Accessibility Support,Authentication,FR,Medium,review,,,
FR-023,Authentication Performance,Authentication,FR,High,review,,,
FR-024,Offline Authentication,Authentication,FR,Critical,review,,,
FR-025,Authentication Audit Trail,Authentication,FR,Medium,review,,,
FR-026,Foreground Application Detection,LockEngine,FR,Critical,review,,,core detection/lock/relock verified (PHASE3 §OV); classify per-FR at M1 gate
